Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Value
India,ASIA (EX. NEAR EAST)         ,1095351995,3287590,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86","2,5","22,01","8,18","0,186","0,276","0,538",3580.0
Indonesia,ASIA (EX. NEAR EAST)         ,245452739,1919440,"127,9","2,85",0,"35,6",3200.0,"87,9","52,0","11,32","7,23","81,45",2,"20,34","6,25","0,134","0,458","0,408",9200.0
Iran,ASIA (EX. NEAR EAST)         ,68688433,1648000,"41,7","0,15","-0,84","41,58",7000.0,"79,4","276,4","8,72","1,39","89,89",1,17,"5,55","0,116","0,424","0,46",925.0
Jamaica,LATIN AMER. & CARIB    ,2758124,10991,"250,9","9,30","-4,92","12,36",3900.0,"87,9","124,0","16,07","10,16","73,77",2,"20,82","6,52","0,049","0,337","0,615",15.0
Japan,ASIA (EX. NEAR EAST)         ,127463611,377835,"337,4","7,87",0,"3,26",28200.0,"99,0","461,2","12,19","0,96","86,85",3,"9,37","9,16","0,017","0,258","0,725",24084.0
Jordan,NEAR EAST                          ,5906760,92300,"64,0","0,03","6,59","17,35",4300.0,"91,3","104,5","2,67","1,83","95,5",1,"21,25","2,65","0,033","0,287","0,68",4670.0
Kazakhstan,C.W. OF IND. STATES ,15233244,2717300,"5,6","0,00","-3,35","29,21",6300.0,"98,4","164,1","7,98","0,05","91,97",4,16,"9,42","0,067","0,386","0,547",150.0
Kenya,SUB-SAHARAN AFRICA                 ,34707817,582650,"59,6","0,09","-0,1","61,47",1000.0,"85,1","8,1","8,08","0,98","90,94","1,5","39,72","14,02","0,163","0,188","0,651",115.0
"Korea, South",ASIA (EX. NEAR EAST)         ,48846823,98480,"496,0","2,45",0,"7,05",17800.0,"97,9","486,1","17,18","1,95","80,87",3,10,"5,85","0,033","0,403","0,563",5750.0
Laos,ASIA (EX. NEAR EAST)         ,6368481,236800,"26,9","0,00",0,"85,22",1700.0,"66,4","14,1","3,8","0,35","95,85",2,"35,49","11,55","0,455","0,287","0,258",295.0
Liberia,SUB-SAHARAN AFRICA                 ,3042004,111370,"27,3","0,52",0,"128,87",1000.0,"57,5","2,3","3,95","2,28","93,77",2,"44,77","23,1","0,769","0,054","0,177",0.0
Madagascar,SUB-SAHARAN AFRICA                 ,18595469,587040,"31,7","0,82",0,"76,83",800.0,"68,9","3,6","5,07","1,03","93,91",2,"41,41","11,11","0,276","0,165","0,559",944.0
Malawi,SUB-SAHARAN AFRICA                 ,13013926,118480,"109,8","0,00",0,"103,32",600.0,"62,7","7,9","23,38","1,49","75,13",2,"43,13","19,33","0,342","0,158","0,499",1.0
Malaysia,ASIA (EX. NEAR EAST)         ,24385858,329750,"74,0","1,42",0,"17,7",9000.0,"88,7","179,0","5,48","17,61","76,91",2,"22,86","5,05","0,084","0,48","0,436",2325.0
Mexico,LATIN AMER. & CARIB    ,107449525,1972550,"54,5","0,47","-4,87","20,91",9000.0,"92,2","181,6","12,99","1,31","85,7","1,5","20,69","4,74","0,038","0,259","0,702",7880.0
Morocco,NORTHERN AFRICA                    ,33241259,446550,"74,4","0,41","-0,98","41,62",4000.0,"51,7","40,4","19,61","2,17","78,22",,"21,98","5,58","0,217","0,357","0,426",1590.0
New Caledonia,OCEANIA                            ,219246,19060,"11,5","11,83",0,"7,72",15000.0,"91,0","252,2","0,38","0,33","99,29",2,"18,11","5,69","0,15","0,088","0,762",0.0
New Zealand,OCEANIA                            ,4076140,268680,"15,2","5,63","4,05","5,85",21600.0,"99,0","441,7","5,6","6,99","87,41",3,"13,76","7,53","0,043","0,273","0,684",910.0
Nicaragua,LATIN AMER. & CARIB    ,5570129,129494,"43,0","0,70","-1,22","29,11",2300.0,"67,5","39,7","15,94","1,94","82,12",2,"24,51","4,45","0,165","0,275","0,56",660.0
Nigeria,SUB-SAHARAN AFRICA                 ,131859731,923768,"142,7","0,09","0,26","98,8",900.0,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244",0.0
Norway,WESTERN EUROPE                     ,4610820,323802,"14,2","7,77","1,74","3,7",37800.0,"100,0","461,7","2,87",0,"97,13",3,"11,46","9,4","0,021","0,415","0,564",1570.0
Panama,LATIN AMER. & CARIB    ,3191319,78200,"40,8","3,18","-0,91","20,47",6300.0,"92,6","137,9","7,36","1,98","90,66",2,"21,74","5,36","0,068","0,156","0,776",312.0
Papua New Guinea,OCEANIA                            ,5670544,462840,"12,3","1,11",0,"51,45",2200.0,"64,6","10,9","0,46","1,44","98,1",2,"29,36","7,25","0,353","0,381","0,266",151.0
Paraguay,LATIN AMER. & CARIB    ,6506464,406750,"16,0","0,00","-0,08","25,63",4700.0,"94,0","49,2","7,6","0,23","92,17",2,"29,1","4,49","0,224","0,207","0,569",0.0
Peru,LATIN AMER. & CARIB    ,28302603,1285220,"22,0","0,19","-1,05","31,94",5100.0,"90,9","79,5","2,89","0,4","96,71","1,5","20,48","6,23","0,08","0,27","0,65",550.0
Philippines,ASIA (EX. NEAR EAST)         ,89468677,300000,"298,2","12,10","-1,5","23,51",4600.0,"92,6","38,4","18,95","16,77","64,28",2,"24,89","5,41","0,144","0,326","0,53",12025.0
Russia,C.W. OF IND. STATES ,142893540,17075200,"8,4","0,22","1,02","15,39",8900.0,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575",9925.0
Rwanda,SUB-SAHARAN AFRICA                 ,8648248,26338,"328,4","0,00",0,"91,23",1300.0,"70,4","2,7","40,54","12,16","47,3",3,"40,37","16,09","0,401","0,229","0,37",0.0
Serbia,EASTERN EUROPE                     ,9396411,88361,"106,3","0,00","-1,33","12,89",2200.0,"93,0","285,8","33,35","3,2","63,45",,,,"0,166","0,255","0,579",1575.0
Sierra Leone,SUB-SAHARAN AFRICA                 ,6005250,71740,"83,7","0,56",0,"143,64",500.0,"31,4","4,0","6,98","0,89","92,13",2,"45,76","23,03","0,49","0,31","0,21",86.0
Singapore,ASIA (EX. NEAR EAST)         ,4492150,693,"6482,2","27,85","11,53","2,29",23700.0,"92,5","411,4","1,64",0,"98,36",2,"9,34","4,28",0,"0,339","0,661",325.0
South Africa,SUB-SAHARAN AFRICA                 ,44187637,1219912,"36,2","0,23","-0,29","61,81",10700.0,"86,4","107,0","12,08","0,79","87,13",1,"18,2",22,"0,025","0,303","0,671",1435.0
Sri Lanka,ASIA (EX. NEAR EAST)         ,20222240,65610,"308,2","2,04","-1,31","14,35",3700.0,"92,3","61,5","13,86","15,7","70,44",2,"15,51","6,52","0,178","0,276","0,545",0.0
Switzerland,WESTERN EUROPE                     ,7523934,41290,"182,2","0,00","4,05","4,39",32700.0,"99,0","680,9","10,42","0,61","88,97",3,"9,71","8,49","0,015","0,34","0,645",4385.0
Taiwan,ASIA (EX. NEAR EAST)         ,23036087,35980,"640,3","4,35",0,"6,4",23400.0,"96,1","591,0",24,1,75,2,"12,56","6,48","0,018","0,259","0,723",1195.0
